user_id,signup_date,acquisition_channel,activated,orders_90d,revenue_90d,tenure_days,last_activity_days_ago
1,2024-04-12,referral,1,2,156.07,96,17
2,2024-06-28,paid_search,1,5,57.56,151,14
3,2024-04-02,organic,1,1,12.21,121,7
4,2024-01-15,paid_search,1,3,221.96,18,23
5,2024-04-16,organic,0,0,0.0,88,79
6,2024-03-12,email,0,0,0.0,68,36
7,2024-01-21,organic,1,0,0.0,60,10
8,2024-04-12,paid_search,1,1,34.38,130,18
9,2024-05-01,paid_search,0,0,0.0,94,84
10,2024-03-15,email,1,3,154.11,49,22
11,2024-03-28,organic,1,3,122.97,166,12
12,2024-04-26,organic,0,0,0.0,159,64
13,2024-04-09,organic,0,0,0.0,168,61
14,2024-04-13,organic,1,3,150.86,80,21
15,2024-05-31,organic,1,3,179.49,127,7
16,2024-05-10,paid_social,1,2,187.09,53,18
17,2024-05-29,organic,0,0,0.0,64,47
18,2024-02-22,organic,1,2,164.86,33,11
19,2024-01-02,referral,1,4,121.39,58,22
20,2024-03-28,paid_search,1,3,74.21,50,10
21,2024-06-06,paid_search,0,0,0.0,64,85
22,2024-02-07,paid_search,0,0,0.0,131,96
23,2024-05-09,email,0,0,0.0,125,91
24,2024-01-21,organic,0,0,0.0,61,110
25,2024-06-09,referral,1,2,335.53,124,5
26,2024-02-27,referral,0,0,0.0,138,34
27,2024-01-22,organic,0,0,0.0,66,82
28,2024-03-29,email,1,5,130.89,179,9
29,2024-02-18,organic,0,0,0.0,30,46
30,2024-02-28,organic,0,0,0.0,25,60
31,2024-06-18,referral,0,0,0.0,171,45
32,2024-01-15,paid_social,1,3,21.23,120,19
33,2024-06-23,paid_social,0,0,0.0,88,50
34,2024-02-20,organic,0,0,0.0,10,70
35,2024-04-17,paid_search,1,2,187.41,94,23
36,2024-02-24,referral,1,1,94.46,126,5
37,2024-03-04,paid_search,1,3,171.99,99,14
38,2024-05-10,paid_search,0,0,0.0,88,82
39,2024-02-20,organic,0,0,0.0,20,103
40,2024-05-14,organic,1,2,3.0,117,5
41,2024-01-21,referral,1,1,15.39,103,23
42,2024-03-13,paid_search,1,1,15.86,177,28
43,2024-06-15,email,0,0,0.0,99,93
44,2024-01-18,paid_search,1,7,906.12,123,26
45,2024-05-11,paid_social,0,0,0.0,74,67
46,2024-03-29,organic,0,0,0.0,155,108
47,2024-02-29,paid_search,0,0,0.0,51,37
48,2024-01-14,organic,1,1,26.08,79,7
49,2024-01-09,paid_search,1,3,120.13,165,3
50,2024-03-30,paid_search,1,3,117.74,3,9
51,2024-02-22,email,1,3,63.87,157,15
52,2024-05-09,paid_social,1,1,60.37,175,15
53,2024-03-24,organic,0,0,0.0,80,43
54,2024-04-01,organic,1,4,201.21,69,28
55,2024-04-20,organic,1,2,147.31,21,26
56,2024-06-20,paid_social,1,1,21.34,42,16
57,2024-01-08,referral,1,3,91.21,118,25
58,2024-06-23,email,0,0,0.0,21,86
59,2024-02-04,organic,1,1,37.44,130,20
60,2024-03-21,paid_search,1,1,59.89,135,1
61,2024-06-12,paid_search,0,0,0.0,35,37
62,2024-02-19,paid_social,1,3,54.18,30,29
63,2024-04-13,paid_social,1,1,20.65,172,4
64,2024-05-11,paid_social,1,1,82.9,174,4
65,2024-01-02,paid_social,1,1,60.97,55,23
66,2024-05-13,organic,1,5,115.03,1,6
67,2024-02-23,referral,1,2,16.38,125,3
68,2024-04-15,organic,0,0,0.0,111,67
69,2024-01-04,paid_social,1,1,37.49,129,2
70,2024-02-23,paid_search,0,0,0.0,63,79
71,2024-05-25,paid_search,0,0,0.0,86,118
72,2024-02-13,email,1,4,423.9,77,28
73,2024-06-10,referral,1,1,26.47,122,12
74,2024-01-14,referral,1,2,120.89,155,29
75,2024-04-04,paid_search,0,0,0.0,15,68
76,2024-02-17,paid_social,0,0,0.0,127,103
77,2024-01-15,paid_search,0,0,0.0,137,43
78,2024-02-09,referral,1,3,38.53,69,9
79,2024-03-22,paid_search,0,0,0.0,59,110
80,2024-04-20,email,1,6,206.41,151,5
81,2024-02-22,email,1,3,120.29,108,22
82,2024-01-24,paid_social,1,2,75.26,113,3
83,2024-06-02,organic,1,4,179.92,107,17
84,2024-05-03,organic,1,0,0.0,139,29
85,2024-02-10,referral,0,0,0.0,24,89
86,2024-06-05,organic,0,0,0.0,72,99
87,2024-01-15,referral,0,0,0.0,111,60
88,2024-02-14,paid_search,1,1,33.66,106,14
89,2024-03-05,paid_search,0,0,0.0,159,102
90,2024-03-29,email,1,3,125.33,150,9
91,2024-03-11,paid_social,1,1,98.13,14,2
92,2024-01-09,paid_social,1,2,120.6,5,21
93,2024-03-28,paid_social,1,4,164.77,127,2
94,2024-05-08,paid_search,1,1,25.18,17,29
95,2024-05-15,referral,1,2,25.58,82,24
96,2024-03-03,organic,0,0,0.0,71,46
97,2024-05-18,email,0,0,0.0,90,46
98,2024-03-21,referral,1,2,189.68,172,11
99,2024-05-15,paid_search,0,0,0.0,79,82
100,2024-06-11,paid_social,0,0,0.0,93,44
101,2024-06-11,paid_social,1,1,48.45,177,8
102,2024-02-02,paid_search,0,0,0.0,65,86
103,2024-05-02,email,1,2,8.14,132,1
104,2024-01-05,organic,0,0,0.0,9,90
105,2024-02-10,organic,0,0,0.0,36,54
106,2024-01-28,paid_search,0,0,0.0,179,107
107,2024-05-14,paid_search,0,0,0.0,122,56
108,2024-03-12,paid_social,0,0,0.0,160,76
109,2024-01-12,referral,0,0,0.0,88,57
110,2024-06-10,paid_social,1,1,42.4,121,8
111,2024-02-02,paid_social,1,0,0.0,146,21
112,2024-02-17,organic,1,2,314.49,143,26
113,2024-05-30,paid_search,1,3,142.59,20,9
114,2024-03-02,organic,1,1,109.97,58,29
115,2024-02-06,organic,0,0,0.0,40,109
116,2024-04-08,paid_social,1,0,0.0,66,14
117,2024-06-20,organic,0,0,0.0,89,34
118,2024-04-13,organic,0,0,0.0,141,40
119,2024-02-04,organic,0,0,0.0,13,115
120,2024-04-10,email,0,0,0.0,62,69
121,2024-06-23,email,1,0,0.0,156,13
122,2024-05-10,paid_social,0,0,0.0,46,68
123,2024-01-01,email,1,2,23.02,143,2
124,2024-01-05,referral,1,3,55.05,93,24
125,2024-05-21,paid_social,1,2,126.05,172,21
126,2024-04-12,organic,1,1,12.78,23,2
127,2024-01-27,referral,0,0,0.0,101,42
128,2024-05-16,paid_social,1,2,213.08,67,13
129,2024-01-15,paid_social,1,4,126.04,114,19
130,2024-03-30,referral,0,0,0.0,66,38
131,2024-02-11,paid_search,0,0,0.0,50,88
132,2024-05-03,paid_social,1,2,117.41,141,6
133,2024-06-27,email,0,0,0.0,2,40
134,2024-03-03,paid_search,0,0,0.0,34,34
135,2024-04-05,paid_social,0,0,0.0,40,64
136,2024-02-21,paid_search,1,4,190.1,69,3
137,2024-04-05,paid_social,1,1,41.8,153,6
138,2024-05-11,referral,1,3,104.72,77,26
139,2024-05-30,organic,1,5,483.75,28,29
140,2024-05-22,paid_social,0,0,0.0,113,115
141,2024-06-19,organic,1,1,34.0,56,7
142,2024-01-29,paid_social,0,0,0.0,112,72
143,2024-02-05,paid_search,1,5,275.78,154,6
144,2024-01-13,referral,0,0,0.0,155,105
145,2024-06-08,organic,1,1,83.3,26,29
146,2024-03-11,paid_social,0,0,0.0,15,113
147,2024-03-26,organic,0,0,0.0,50,47
148,2024-01-28,referral,0,0,0.0,134,53
149,2024-03-06,email,1,3,219.67,68,10
150,2024-06-18,email,1,1,28.54,132,4
151,2024-02-14,referral,0,0,0.0,158,30
152,2024-03-02,referral,1,7,99.78,77,18
153,2024-05-13,organic,1,0,0.0,9,27
154,2024-01-28,paid_search,1,4,443.13,170,10
155,2024-01-28,paid_search,1,1,86.31,14,10
156,2024-04-17,referral,1,3,266.3,40,10
157,2024-02-13,email,1,1,27.93,131,7
158,2024-03-24,organic,1,3,36.84,169,20
159,2024-01-30,email,1,1,58.04,33,14
160,2024-03-15,paid_social,0,0,0.0,79,61
161,2024-05-07,paid_social,1,0,0.0,60,8
162,2024-04-01,organic,1,2,109.19,64,26
163,2024-05-08,organic,0,0,0.0,62,42
164,2024-04-30,paid_social,0,0,0.0,79,43
165,2024-01-27,paid_social,0,0,0.0,135,46
166,2024-04-30,organic,0,0,0.0,76,45
167,2024-04-25,paid_social,1,0,0.0,50,21
168,2024-01-03,referral,0,0,0.0,39,108
169,2024-04-12,referral,1,2,89.39,175,20
170,2024-06-03,email,0,0,0.0,105,32
171,2024-05-16,paid_search,1,1,38.37,70,5
172,2024-03-02,paid_search,0,0,0.0,26,82
173,2024-06-13,paid_social,1,2,129.83,58,20
174,2024-02-20,paid_search,1,2,50.56,73,18
175,2024-06-20,organic,0,0,0.0,179,76
176,2024-05-31,organic,1,1,110.29,52,11
177,2024-02-28,paid_search,1,4,194.17,144,21
178,2024-04-27,organic,1,0,0.0,48,22
179,2024-06-08,paid_search,1,1,35.95,27,20
180,2024-04-05,organic,1,3,89.32,161,11
181,2024-06-28,organic,0,0,0.0,151,109
182,2024-04-22,paid_social,1,3,121.32,173,26
183,2024-03-02,paid_social,1,2,88.42,100,13
184,2024-02-21,paid_social,1,2,68.89,22,28
185,2024-01-12,organic,0,0,0.0,42,48
186,2024-02-08,organic,0,0,0.0,109,55
187,2024-05-09,paid_social,0,0,0.0,33,108
188,2024-05-10,paid_social,0,0,0.0,109,74
189,2024-04-22,paid_search,0,0,0.0,138,39
190,2024-04-10,paid_search,0,0,0.0,47,55
191,2024-04-22,email,0,0,0.0,96,37
192,2024-03-21,paid_search,1,3,90.16,125,5
193,2024-04-22,paid_search,0,0,0.0,79,61
194,2024-01-02,paid_social,1,2,60.92,39,21
195,2024-05-09,paid_search,0,0,0.0,122,74
196,2024-02-23,paid_search,0,0,0.0,46,84
197,2024-03-27,paid_search,0,0,0.0,72,41
198,2024-05-08,referral,0,0,0.0,51,77
199,2024-05-26,organic,1,3,255.98,25,6
200,2024-05-05,organic,1,1,55.13,82,5
201,2024-05-09,paid_search,1,5,1019.68,143,24
202,2024-02-22,referral,0,0,0.0,58,66
203,2024-06-20,organic,0,0,0.0,26,111
204,2024-06-08,email,0,0,0.0,41,60
205,2024-06-08,paid_search,0,0,0.0,44,32
206,2024-03-08,email,0,0,0.0,85,98
207,2024-05-02,email,0,0,0.0,22,88
208,2024-05-24,paid_search,0,0,0.0,110,62
209,2024-02-07,organic,0,0,0.0,37,65
210,2024-01-24,organic,0,0,0.0,118,103
211,2024-03-09,organic,1,2,58.32,101,17
212,2024-04-25,paid_social,0,0,0.0,142,104
213,2024-04-07,organic,1,2,16.72,4,3
214,2024-05-18,paid_search,1,3,110.2,24,13
215,2024-05-23,paid_search,0,0,0.0,65,83
216,2024-04-06,email,1,2,33.31,66,3
217,2024-05-03,organic,0,0,0.0,13,38
218,2024-03-10,organic,1,3,43.75,27,20
219,2024-04-02,organic,1,4,244.66,116,9
220,2024-01-03,email,1,7,85.32,81,23
221,2024-05-27,paid_social,1,2,173.8,121,4
222,2024-06-12,organic,1,1,13.65,109,2
223,2024-05-26,organic,1,2,54.15,145,5
224,2024-03-30,organic,1,3,48.29,69,8
225,2024-05-26,organic,1,3,414.93,57,2
226,2024-05-27,email,1,2,50.83,72,25
227,2024-04-05,referral,0,0,0.0,108,115
228,2024-02-21,paid_search,1,3,111.93,73,6
229,2024-06-09,referral,0,0,0.0,18,78
230,2024-06-16,organic,0,0,0.0,16,118
231,2024-05-07,paid_social,1,2,66.02,179,9
232,2024-02-08,referral,0,0,0.0,96,34
233,2024-03-22,paid_search,0,0,0.0,40,102
234,2024-04-13,referral,0,0,0.0,39,73
235,2024-05-08,organic,1,2,38.54,56,28
236,2024-01-11,organic,0,0,0.0,117,86
237,2024-06-26,organic,0,0,0.0,54,36
238,2024-05-30,paid_search,1,4,54.31,172,19
239,2024-06-07,paid_social,1,1,40.46,46,13
240,2024-02-11,email,1,1,35.84,160,1
241,2024-04-08,paid_social,0,0,0.0,176,48
242,2024-01-07,referral,1,2,30.85,166,23
243,2024-05-23,referral,0,0,0.0,43,72
244,2024-03-30,organic,1,1,64.8,4,4
245,2024-04-21,paid_search,0,0,0.0,5,54
246,2024-02-29,organic,1,7,108.6,113,14
247,2024-04-22,paid_social,1,1,16.47,58,10
248,2024-01-02,email,0,0,0.0,37,54
249,2024-05-08,organic,1,3,174.63,154,23
250,2024-02-17,paid_social,1,2,188.24,9,19
251,2024-05-19,paid_social,1,3,134.35,15,17
252,2024-02-06,paid_social,1,6,403.19,88,20
253,2024-06-08,paid_search,0,0,0.0,99,45
254,2024-01-09,paid_search,0,0,0.0,105,82
255,2024-04-08,organic,1,6,810.67,154,15
256,2024-05-26,organic,1,4,81.05,105,22
257,2024-02-17,organic,1,0,0.0,27,6
258,2024-05-10,paid_social,0,0,0.0,83,39
259,2024-05-27,organic,1,0,0.0,159,1
260,2024-05-31,referral,1,0,0.0,32,5
261,2024-02-23,paid_search,1,4,34.05,130,20
262,2024-04-29,paid_social,0,0,0.0,18,31
263,2024-06-09,paid_search,1,2,38.56,28,7
264,2024-05-31,paid_social,0,0,0.0,71,43
265,2024-04-25,email,1,0,0.0,117,21
266,2024-03-15,organic,1,3,78.03,100,23
267,2024-04-22,organic,1,2,41.99,88,3
268,2024-06-12,referral,1,4,251.24,92,2
269,2024-06-14,organic,1,4,99.26,153,16
270,2024-04-13,organic,1,1,44.08,39,28
271,2024-03-24,paid_search,1,1,70.72,177,17
272,2024-04-21,organic,1,3,85.14,132,21
273,2024-04-08,paid_social,1,2,41.5,52,12
274,2024-06-01,organic,0,0,0.0,122,45
275,2024-04-02,referral,1,0,0.0,68,5
276,2024-05-25,referral,0,0,0.0,57,89
277,2024-05-07,paid_social,1,2,114.1,13,24
278,2024-04-19,paid_social,1,1,21.23,63,16
279,2024-03-22,referral,1,3,319.62,71,18
280,2024-02-23,organic,1,2,59.61,153,13
281,2024-06-11,referral,1,1,75.41,23,28
282,2024-06-17,referral,1,2,78.99,30,20
283,2024-06-09,paid_social,0,0,0.0,113,54
284,2024-03-08,paid_social,1,2,33.93,135,9
285,2024-02-02,organic,1,1,47.25,54,16
286,2024-05-21,paid_search,1,3,321.08,109,3
287,2024-01-21,referral,0,0,0.0,145,39
288,2024-02-17,organic,0,0,0.0,97,95
289,2024-05-27,referral,1,1,10.11,60,20
290,2024-05-07,organic,1,1,42.83,66,10
291,2024-05-15,organic,1,4,180.64,166,22
292,2024-05-14,organic,1,0,0.0,141,23
293,2024-05-24,organic,0,0,0.0,52,52
294,2024-05-07,paid_search,0,0,0.0,32,70
295,2024-02-02,organic,1,2,66.63,9,22
296,2024-06-24,email,1,3,123.74,17,1
297,2024-04-24,paid_social,0,0,0.0,126,85
298,2024-04-28,organic,1,3,216.75,82,16
299,2024-01-22,paid_social,1,4,349.28,40,11
300,2024-06-06,referral,0,0,0.0,104,93
301,2024-02-07,paid_social,1,1,76.1,128,8
302,2024-04-18,organic,1,2,9.18,156,5
303,2024-02-20,referral,1,5,425.23,178,23
304,2024-01-08,referral,0,0,0.0,18,91
305,2024-01-27,organic,1,0,0.0,141,8
306,2024-01-27,organic,0,0,0.0,161,91
307,2024-01-21,paid_social,0,0,0.0,143,39
308,2024-01-30,organic,1,0,0.0,166,29
309,2024-04-06,referral,1,2,33.88,6,15
310,2024-01-28,paid_search,1,3,165.03,45,18
311,2024-04-20,email,1,2,188.87,98,13
312,2024-03-01,paid_social,0,0,0.0,119,47
313,2024-02-17,organic,0,0,0.0,78,36
314,2024-05-26,organic,1,1,40.06,48,21
315,2024-01-04,paid_social,0,0,0.0,111,38
316,2024-02-04,referral,1,4,125.47,169,3
317,2024-02-18,referral,0,0,0.0,83,114
318,2024-01-17,organic,0,0,0.0,104,79
319,2024-06-20,organic,1,6,389.29,74,10
320,2024-06-06,organic,1,1,75.49,55,1
321,2024-02-15,paid_social,0,0,0.0,61,103
322,2024-04-26,organic,0,0,0.0,2,46
323,2024-01-06,paid_search,1,2,142.59,116,19
324,2024-04-08,paid_social,1,4,131.86,2,24
325,2024-05-03,email,0,0,0.0,76,110
326,2024-02-06,paid_search,1,1,159.05,10,27
327,2024-01-24,organic,1,1,60.61,76,1
328,2024-04-02,paid_social,1,1,66.69,167,19
329,2024-02-15,paid_social,1,3,116.64,2,25
330,2024-04-04,paid_search,1,2,222.55,121,6
331,2024-04-08,email,0,0,0.0,65,89
332,2024-04-25,referral,0,0,0.0,81,99
333,2024-06-08,organic,1,1,61.56,85,23
334,2024-06-09,organic,1,2,89.23,44,17
335,2024-03-07,paid_search,1,2,138.23,34,17
336,2024-05-07,referral,1,2,163.16,73,21
337,2024-01-18,organic,0,0,0.0,106,39
338,2024-01-25,paid_social,1,2,22.49,173,20
339,2024-02-23,paid_social,0,0,0.0,160,54
340,2024-02-27,organic,1,1,2.62,5,24
341,2024-03-07,paid_social,0,0,0.0,110,30
342,2024-04-13,email,1,2,68.09,69,18
343,2024-06-22,organic,1,1,4.29,54,22
344,2024-01-24,paid_search,1,2,71.35,38,24
345,2024-04-23,paid_search,0,0,0.0,137,102
346,2024-02-01,referral,0,0,0.0,61,42
347,2024-06-23,email,0,0,0.0,95,100
348,2024-03-26,paid_search,0,0,0.0,21,30
349,2024-05-30,referral,0,0,0.0,36,60
350,2024-05-06,paid_search,1,2,37.99,1,16
351,2024-06-03,paid_search,1,3,51.52,150,12
352,2024-05-09,organic,0,0,0.0,143,85
353,2024-01-17,organic,0,0,0.0,46,48
354,2024-04-13,organic,0,0,0.0,65,33
355,2024-06-09,paid_social,1,2,66.44,6,3
356,2024-05-16,organic,1,3,264.31,168,28
357,2024-02-12,email,0,0,0.0,163,59
358,2024-06-24,organic,0,0,0.0,81,65
359,2024-02-08,organic,1,2,105.44,151,4
360,2024-06-18,paid_search,0,0,0.0,148,88
361,2024-01-26,paid_social,0,0,0.0,28,97
362,2024-04-08,organic,1,1,82.18,165,22
363,2024-02-19,paid_search,0,0,0.0,135,104
364,2024-06-01,email,0,0,0.0,49,33
365,2024-05-31,organic,0,0,0.0,24,40
366,2024-01-13,paid_search,0,0,0.0,80,82
367,2024-02-29,referral,1,2,36.41,13,16
368,2024-05-14,organic,1,2,154.1,92,12
369,2024-02-26,paid_search,1,5,329.17,135,15
370,2024-02-05,paid_search,1,3,51.89,15,15
371,2024-06-21,paid_search,1,4,50.27,87,1
372,2024-01-20,organic,1,2,36.17,151,3
373,2024-03-05,organic,1,1,36.81,124,2
374,2024-01-08,paid_search,1,0,0.0,69,26
375,2024-05-23,organic,1,2,76.3,91,17
376,2024-05-21,referral,0,0,0.0,60,80
377,2024-04-24,paid_search,1,3,107.03,10,5
378,2024-05-22,paid_search,0,0,0.0,51,44
379,2024-04-01,referral,1,2,124.28,64,19
380,2024-04-07,paid_social,1,7,347.41,106,15
381,2024-03-06,organic,0,0,0.0,56,38
382,2024-02-01,email,1,1,39.1,160,8
383,2024-03-26,organic,1,3,230.79,151,10
384,2024-02-20,organic,1,1,25.67,91,6
385,2024-06-01,referral,1,4,57.54,85,28
386,2024-03-03,paid_search,1,2,182.05,107,21
387,2024-05-04,paid_search,1,6,940.92,79,15
388,2024-05-29,organic,1,6,213.55,109,10
389,2024-02-27,paid_search,0,0,0.0,102,34
390,2024-02-27,organic,0,0,0.0,148,99
391,2024-03-26,email,1,1,55.11,143,17
392,2024-02-18,organic,1,3,124.78,29,28
393,2024-06-28,referral,1,2,103.7,70,22
394,2024-06-18,paid_social,1,3,246.78,80,6
395,2024-03-10,referral,1,0,0.0,65,19
396,2024-01-15,paid_social,0,0,0.0,16,89
397,2024-02-23,paid_social,1,2,76.4,54,20
398,2024-04-10,paid_search,0,0,0.0,97,53
399,2024-01-08,organic,1,3,213.66,7,14
400,2024-02-22,organic,0,0,0.0,60,31
401,2024-02-29,referral,0,0,0.0,10,112
402,2024-04-17,referral,0,0,0.0,53,74
403,2024-01-05,paid_search,1,3,126.97,8,13
404,2024-04-12,organic,0,0,0.0,126,39
405,2024-01-06,paid_search,0,0,0.0,85,74
406,2024-04-18,paid_social,0,0,0.0,90,66
407,2024-04-25,paid_search,1,2,138.35,37,24
408,2024-04-03,referral,0,0,0.0,132,74
409,2024-02-16,email,1,2,35.4,84,8
410,2024-04-08,organic,0,0,0.0,104,94
411,2024-02-24,paid_search,0,0,0.0,23,90
412,2024-06-16,paid_search,1,1,87.54,137,4
413,2024-02-21,paid_search,1,4,243.72,166,3
414,2024-05-23,organic,1,2,18.49,45,13
415,2024-01-13,organic,0,0,0.0,173,69
416,2024-04-23,referral,1,0,0.0,146,8
417,2024-05-03,paid_search,1,3,169.99,46,24
418,2024-04-15,paid_search,1,0,0.0,2,9
419,2024-06-06,email,0,0,0.0,176,119
420,2024-05-26,referral,1,2,120.33,17,1
421,2024-05-24,organic,0,0,0.0,118,39
422,2024-04-29,paid_social,1,2,41.6,16,12
423,2024-03-03,paid_search,0,0,0.0,110,60
424,2024-01-19,referral,0,0,0.0,173,116
425,2024-04-01,paid_social,1,1,50.79,48,21
426,2024-02-27,paid_social,1,1,64.82,152,4
427,2024-03-30,paid_search,0,0,0.0,95,52
428,2024-04-26,referral,1,1,54.05,92,16
429,2024-03-02,organic,1,3,173.79,161,11
430,2024-01-23,organic,0,0,0.0,106,67
431,2024-05-06,paid_search,0,0,0.0,103,40
432,2024-05-16,organic,0,0,0.0,132,37
